// TODO: Refactor.

// ==================================== Psionic Pull ====================================
// Target_PsionicPull, Target_SteelWatcher_Biped_RetrievingShot, and Target_MAG_RetrievingShot all inherit from Target_Hex (in a chain) and Valdacil's Spell Adjustments just breaks them all.

new entry "Target_PsionicPull"
type "SpellData"
data "SpellType" "Target"
// using "Target_Hex"
data "Level" ""
data "SpellSchool" ""
data "SpellContainerID" ""
data "ContainerSpells" ""
data "Cooldown" "OncePerShortRest"
data "SpellProperties" "Force(-9, OriginToEntity, Neutral, false, true)"
data "TargetRadius" "18"
data "RequirementConditions" "not Tagged('TADPOLE_POWERS_BLOCKED')"
data "SpellRoll" ""
data "SpellSuccess" ""
data "SpellFail" ""
data "TargetConditions" "not Self() and not Grounded() and IsMovable()"
data "Icon" "TadpoleSuperPower_PsionicPull"
// Psionic Pull
data "DisplayName" "h036c0e95g4d9fg4492g83dbga7cb95dd188f;1"
// Pull one creature or object towards you.
data "Description" "h6c09e973gb4ffg49e6g8832g9af0c3b06160;1"
// data "DescriptionParams" "DealDamage(1d6,Necrotic)"
data "DescriptionParams" "DealDamage(1d6,Necrotic)"
data "ExtraDescription" ""
data "TooltipDamageList" ""
// Casting this spell at a higher level doesn't grant any additional benefits.
// data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
// Casting this spell at a higher level doesn't grant any additional benefits.
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "CastSound" "Spell_Cast_Tadpole_PsionicPull_L1to3"
data "TargetSound" "Spell_Impact_Tadpole_PsionicPull_L1to3"
// data "VocalComponentSound" "Vocal_Component_Curse"
data "VocalComponentSound" "Vocal_Component_Curse"
data "CastTextEvent" "Cast"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "f94542d9-a79c-478a-92de-573cead9260e,,;,,;5ca5b155-fbc3-465e-ab24-55421c91bea7,,;7da4ad07-cfc9-4de0-a02c-7f1b07fac394,,;bd339475-d2b5-46e8-8d0c-9f2ad6a91328,,;,,;,,;,,;,,"
data "VerbalIntent" ""
// data "SpellStyleGroup" "Class"
data "SpellStyleGroup" "Class"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful;AddFallDamageOnLand"
data "MemoryCost" ""
data "RootSpellID" ""
data "PrepareEffect" "54d12e90-23ce-4f2b-af51-c50be6e9c6a9"
data "CastEffect" "456933cc-f8c3-42d9-ae4c-622d83391cc6"
data "TargetEffect" "aafee3d2-0f5b-42b7-a91c-1397fb58dd25"
data "BeamEffect" "f23f8654-27d8-461e-a8cd-c3e6a19eba92"
