// ==================================== Concussive Burst - Yurgir ====================================

new entry "Zone_ConcussiveBlast_Orthon"
type "SpellData"
data "SpellType" "Zone"
// using "Zone_Thunderwave"
// data "Level" "1"
data "Level" "1"
data "SpellSchool" "None"
data "Cooldown" "OncePerTurn"
// data "SurfaceType" "Sentinel"
data "SurfaceType" "Sentinel"
// data "SurfaceLifetime" "0"
data "SurfaceLifetime" "0"
// data "SurfaceGrowStep" "50"
data "SurfaceGrowStep" "50"
// data "SurfaceGrowInterval" "1"
data "SurfaceGrowInterval" "1"
data "SpellProperties" ""
data "SpellRoll" "Attack(AttackType.MeleeWeaponAttack)"
data "SpellSuccess" "DealDamage(5d8,Thunder,Magical);Force(8, OriginToTarget)"
data "SpellFail" "DealDamage((5d8)/2,Thunder,Magical);"
// data "TargetConditions" "not Dead() and not (HasPassive('SculptSpells', context.Source) and Ally()) and not Tagged('INVISIBLE_HELPER')"
data "TargetConditions" "not Dead() and not (HasPassive('SculptSpells', context.Source) and Ally()) and not Tagged('INVISIBLE_HELPER')"
data "Icon" "GenericIcon_DamageType_Thunder"
// Concussive Burst
data "DisplayName" "hf594d706g2cb1g4a89g82afg7497dbb2e77f;2"
// A thunderous blast that ripples over your foes and pushes them back.
data "Description" "h2186a044gcff1g4ef1ga3d2g1ab84d8c806c;3"
data "TooltipDamageList" "DealDamage(5d8,Thunder)"
// data "TooltipAttackSave" "Constitution"
data "TooltipAttackSave" "Constitution"
// data "TooltipOnSave" "f762efbb-f8f1-493e-b248-2de1567b4bd2"
data "TooltipOnSave" "f762efbb-f8f1-493e-b248-2de1567b4bd2"
// data "TooltipUpcastDescription" "66388a6f-44dd-4c9f-a9e7-910c50e70755"
data "TooltipUpcastDescription" "66388a6f-44dd-4c9f-a9e7-910c50e70755"
// data "TooltipUpcastDescriptionParams" "DealDamage(1d8,Thunder)"
data "TooltipUpcastDescriptionParams" "DealDamage(1d8,Thunder)"
data "PrepareSound" "CrSpell_Prepare_Orthon_Concussive_Blast"
data "PrepareLoopSound" "CrSpell_Loop_Orthon_Concussive_Blast_Stop"
data "CastSound" "CrSpell_Cast_ConcussiveBlast"
data "TargetSound" "CrSpell_Impact_ConcussiveBlast"
// data "PreviewCursor" "Cast"
data "PreviewCursor" "Cast"
// data "CastTextEvent" "Cast"
data "CastTextEvent" "Cast"
data "Shape" "Cone"
data "Range" "8"
// data "Base" "5"
data "Base" "5"
data "Angle" "75"
// data "CycleConditions" "Enemy() and not Dead()"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "63292747-6485-4fd0-a1a1-281036b47bfc,,;dc5f3694-ff5a-4c7a-8a94-9e1bd1e43e7d,,;96ea0a93-2bb7-44c6-8b53-64b5c1ebc97e,,;64c836a3-d027-482f-b5a8-184230df9ee7,,;6aca20d7-92f6-4148-a8b2-4d87302f1d44,,;e587b162-1966-4c17-a137-7b40da647f46,,;,,;,,;,,"
// data "VerbalIntent" "Damage"
data "VerbalIntent" "Damage"
data "WeaponTypes" "Ammunition"
data "SpellFlags" "AddFallDamageOnLand;IsHarmful;IsAttack;IsEnemySpell"
data "RechargeValues" ""
// data "MemoryCost" "1"
data "MemoryCost" "1"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "80e0c758-0859-4126-9871-075d4882d9ce"
data "CastEffect" "4263a5da-abb4-4f49-b8fe-92e582d99920"
data "TargetEffect" "9682a720-5246-4bfe-894c-fd4ac0484e2f"
data "Sheathing" "Ranged"
// data "DamageType" "Thunder"
data "DamageType" "Thunder"
