// TODO: Refactor.

// ==================================== Githborn: Flying Boots ====================================

new entry "Shout_MAG_Shout_Fly"
type "SpellData"
data "SpellType" "Shout"
// using "Shout_Blink"
data "Level" "3"
data "SpellSchool" "Transmutation"
data "SpellContainerID" ""
data "Cooldown" "OncePerRestPerItem"
data "SpellProperties" "ApplyStatus(FLY,100,10)"
// data "TargetConditions" "Self()"
data "TargetConditions" "Self()"
data "Icon" "Action_Fly"
// // Githborn: Flying Boots
data "DisplayName" "h8a9bb5b3g81ceg4b4fga52eg252abfbf4ee7;2"
// // Bestow the ability to &lt;LSTag Type="Spell" Tooltip="Projectile_Fly"&gt;Fly&lt;/LSTag&gt; upon yourself.
data "Description" "hbd3c635egcec1g44ebgbd47g77f5c79480ef;2"
data "ExtraDescription" ""
data "ExtraDescriptionParams" ""
data "TooltipStatusApply" "ApplyStatus(FLY,100,10)"
// Casting this spell at a higher level doesn't grant any additional benefits.
// data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "PrepareSound" "Spell_Prepare_Fly_L4to5_01"
data "PrepareLoopSound" "Spell_Loop_Fly_L4to5"
data "CastSound" "Spell_Cast_Fly_L4to5"
data "TargetSound" "Spell_Impact_Fly_L4to5"
data "VocalComponentSound" "Vocal_Component_GrantFly"
// data "CastTextEvent" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
// data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;236087a5-5597-4ee7-ab06-75b01147f596,,;ee0b6a78-c6b6-4852-aecb-d7c474a37d68,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;236087a5-5597-4ee7-ab06-75b01147f596,,;ee0b6a78-c6b6-4852-aecb-d7c474a37d68,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
// data "VerbalIntent" "Buff"
data "VerbalIntent" "Buff"
// data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell"
data "Requirements" ""
data "RequirementConditions" ""
data "PrepareEffect" "f1ba15e1-93c4-4c94-a6d4-2b1b3934ce44"
data "CastEffect" "bcd66fb0-b0bc-41d0-abba-ad443d63dd72"
data "TargetEffect" "8cd6c669-ded1-476a-aa5e-d7dd055381d7"
